name,url
"Virginia Outdoors Foundation",http://data.vof.opendata.arcgis.com
"Lafayette Parish Assessor's Office",http://lafayetteassessor.lpao.opendata.arcgis.com
"Whakatane District Council Open Data",http://data.whakatane.opendata.arcgis.com
"Food and Agriculture Organization of the United Nations",http://corporategeospatial.hqfao.opendata.arcgis.com
"City of Aurora, Colorado",http://data.auroraco.opendata.arcgis.com
"Arctic Support",http://arctic.nga.opendata.arcgis.com
"Logan City Council",http://data.logancity.opendata.arcgis.com
"Rocky Mountain National Park",http://romo.nps.opendata.arcgis.com
"MassDOT Open Data Portal",http://geo.massdot.opendata.arcgis.com
"the GIS Data Catalog",http://data.imap.maryland.gov
"Tookany/Tacony-Frankford Watershed Partnership",http://streamkeepers.ttfwatershed.opendata.arcgis.com
"City of Chesapeake, VA Open Data Site",http://public.chesva.opendata.arcgis.com
"Open Raleigh GIS Data",http://data.ral.opendata.arcgis.com
"Dedham GIS Data",http://gis.dedham.opendata.arcgis.com
"California Dept of Public Health Geospatial Resources                                                                                         .",http://maps.cdphdata.opendata.arcgis.com
"US Census Bureau",http://census.dcdev.opendata.arcgis.com
"Douglas County, CO",http://gis.dougco.opendata.arcgis.com
"BC Oil and Gas Commission Open Data Portal",http://data.bcogc.opendata.arcgis.com
"Hartford Data",http://gisdata.hartford.gov
"DCS GIS",http://openac.alcogis.opendata.arcgis.com
"Chula Vista GIS",http://chulavista.cvgis.opendata.arcgis.com
"City of Rockville, MD, Open Data",http://data.rockvillemd.opendata.arcgis.com
"New Jersey Office of GIS - Open Data",http://njogis.newjersey.opendata.arcgis.com
"City of Glendale, Arizona",http://data.cog-gis.opendata.arcgis.com
"Pittsburgh Regional Open Data Portal",http://prodp.neod.opendata.arcgis.com
"Alabama's Open Data Catalog",http://data.alabama.opendata.arcgis.com
"Lewis & Clark County - City of Helena GIS",http://gisdata.helenamtmaps.opendata.arcgis.com
"the DC GIS Open Data Site",http://opendata.dc.gov
"Nukissiorfiit OpenData",http://data.nukissiorfiit.opendata.arcgis.com
"Salt Lake County Open Data Portal",http://gisdata.slco.opendata.arcgis.com
"RakunoGakuenUniversity",http://data.rakuno-gis.opendata.arcgis.com
"Story County Open GIS Data Portal",http://openstoryco.storycogis.opendata.arcgis.com
"District Of Peachland",http://peachland.rdco.opendata.arcgis.com
"County of Santa Cruz, California",http://data.sccgis.opendata.arcgis.com
"City of Norfolk",http://data.orf.opendata.arcgis.com
"DOT Open Data Site",http://data.pluton.opendata.arcgis.com
"Baltimore City Open GIS data",http://gis.baltimore.opendata.arcgis.com
"SmartCommunities",http://data.smartcommunities.opendata.arcgis.com
"City of Tulsa GIS Open Data",http://opengis.cityoftulsa.org
"County of Camden",http://camdencountynj.ccdpw.opendata.arcgis.com
"Communaut\u00e9 d'agglomeration Caux vall\u00e9e de Seine",http://sgi.cvs.opendata.arcgis.com
"Racine County, WI",http://data.racinecounty.opendata.arcgis.com
"Open GIS Data",http://gisdata.csjdotgis.opendata.arcgis.com
"Town of Mooresville, NC Open Data",http://town.mooresvillenc.opendata.arcgis.com
"Illinois EPA Open Data",http://illinoisepaopendata.illinois-epa.opendata.arcgis.com
"Auckland Council Data Download",http://aucklandopendata.aucklandcouncil.opendata.arcgis.com
"Evansville & Vanderburgh County GIS Data",http://gisdata.evvc.opendata.arcgis.com
"ICE Sector Electricidad",http://data.ice-se.opendata.arcgis.com
"Montezuma County Online Mapping",http://dat.montezumacounty.opendata.arcgis.com
"Open Data Telematica",http://opendatatm.mitelematica.opendata.arcgis.com
"County of San Luis Obispo",http://gis.slocounty.opendata.arcgis.com
"San Benito County Open Data Portal",http://opendata.cosb.opendata.arcgis.com
"ArcGIS Online",http://kmod.beirutgardens.opendata.arcgis.com
"Hillsborough County GeoHub",http://gis.hillsborough.opendata.arcgis.com
"Waukesha County Open Data",http://maps.waukeshacounty.opendata.arcgis.com
"St. Johns River Water Management District (SJRWMD) Open Data",http://data.floridaswater.opendata.arcgis.com
"NC DEQ GIS Data",http://data.ncdenr.opendata.arcgis.com
"Capital Area Council of Governments",http://regional-data.capcog.opendata.arcgis.com
"Mountain Rescue Association - Open Data Portal",http://data.msar.opendata.arcgis.com
"PW Open Data",http://data.sjcpwd.opendata.arcgis.com
"Irwin OAT Data Discovery",http://data.doildt.opendata.arcgis.com
"NM Office of the State Engineer",http://gisdata.ose.opendata.arcgis.com
"Lake County Maps & Apps",http://data.lcgis.opendata.arcgis.com
"Lichfield District Council",http://data.lichfielddc.opendata.arcgis.com
"Telecomunicaciones La Paz",http://open.geosystems-telco.opendata.arcgis.com
"West Parry Sound Geography Network",http://data2.wpsgn.opendata.arcgis.com
"County of Santa Cruz, California",http://data1.sccgis.opendata.arcgis.com
"Port of Rotterdam",http://data.portofrotterdam.opendata.arcgis.com
"PWGSC-Geomatics Open Data",http://nca.pwgsc-geomatics.opendata.arcgis.com
"University Lands",http://opendata.gis.utlands.org
"City of Bismarck, ND Open Data",http://download.bismarck.opendata.arcgis.com
"Hawaii Statewide GIS Open Data Portal",http://hawaiistatewidegisopendataportal.histategis.opendata.arcgis.com
"Texas Department of Transportation",http://gis.txdot.opendata.arcgis.com
"Open Source GIS Data",http://public.colletoncounty.opendata.arcgis.com
