url,name,datasets
data.menlopark.org,"Menlo Park - Open Data Portal | Open Data | Socrata",21
data.michigan.gov,"Michigan | Open Data | Michigan | Open Data",145
data.montgomeryal.gov,"Open Data Montgomery | Open Data Montgomery, AL",65
data.nashville.gov,"Nashville | Open Data | Open Data Portal
",112
data.montgomeryschoolsmd.org,"MCPS - Open Data Portal | MCPS - Open Data Portal",156
data.orcities.org,"LOC Open Data Portal | Open Data Portal
",50
data.policefoundation.org,"Police Foundation - Open Data Portal | Police Foundation Open Data",66
data.raleighnc.gov,"Raleigh | Open Data | City of Raleigh | Open Data",447
data.novascotia.ca,"Nova Scotia Government - Open Data Portal | Open Data | Nova Scotia",515
data.readingpa.gov,"Open Reading | Open Data Reading",59
data.results.wa.gov,"Data.Washington | Washington | Results Washington | data.results.wa.gov",1403
data.smcgov.org,"San Mateo | Open Data | Open San Mateo County",1114
data.rutlandcitypolice.com,"Open Data | Rutland City Police Department | Open Data | Socrata",3
data.qac.org,"Queen Anne's County - Open Data | Open Data Portal
",49
www.data.act.gov.au,"ACT | Open Data | Open Data Portal
",544
data.wa.gov,"Data.WA | State of Washington Open Data Platform | Data.WA | State of Washington",1632
data.strathcona.ca,"Strathcona County Open Data | Strathcona County Open Data",275
data.transportation.gov,"Department of Transportation - Open Data Portal | Department of Transportation - Data Portal",47
data.sonomacounty.ca.gov,"County of Sonoma | Open Data | Open Data | Sonoma County",139
eda.data.commerce.gov,"Open Data | Socrata",1
data.waterpointdata.org,"Water Point Data Exchange - Data | WPDx |  The Water Point Data Exchange is the global platform for sharing water point data",55
data.weho.org,"Open Data | West Hollywood | Open Data | City of West Hollywood",47
www.pivcide.pr,"Validación – Incentivos | Validación – Incentivos",70
ntis.data.commerce.gov,"Open Data | Socrata",1
information.stpaul.gov,"The City of Saint Paul's Open Data Portal | Open Data | St Paul",114
hartstat.hartford.gov,"HartStat | City of Hartford | HartStat | City of Hartford",0
opendata.ci.richmond.ca.us,"Richmond Open Data | Richmond Open Data
",76
opencity.fcgov.com,"Rally - Open Data Portal | OpenCity Fort Collins",55
opendata.miamidade.gov,"Miami-Dade County - Open Data Portal | Miami-Dade County - Open Data Portal",34
kcstat.kcmo.org,"Dashboard | KCStat | Kansas City, MO",293
opendata.howardcountymd.gov,"Howard County - Open Data Portal | Open Data Portal
",155
opendata.cityofhenderson.com,"Henderson Open Data | Open Data | City of Henderson",36
performance.topeka.org,"Performance | Topeka | Performance | Topeka",17
performance.sandiegocounty.gov,"San Diego County Open Performance | San Diego County Open Performance",0
performance.smcgov.org,"San Mateo Performance Dashboards | San Mateo County Performance",1824
performance.fultoncountyga.gov,"Fulton Performance | Fulton Performance",351
dashboard.alexandriava.gov,"Performance Dashboard | City of Alexandria, VA | Dashboard | City of Alexandria",371
www.thedatazone.ca,"datazONE | PVSC | DatazONE |",44
performance.danvilleva.gov,"City of Danville Dashboard | City of Danville Dashboard",15
data.austintexas.gov,"Open Data | City of Austin Texas | Open Data | City of Austin Texas",1738
dashboard.hawaii.gov,"Hawaii - Open Data Portal | dashboard.hawaii.gov",945
data.colorado.gov,"Colorado Information Marketplace | Colorado Information Marketplace | data.colorado.gov",1441
data.iowa.gov,"data.iowa.gov | data.iowa.gov",1267
data.jacksonms.gov,"Open Data | City of Jackson | Jackson Open Data",87
data.lacounty.gov,"LAC Open Data | LAC Open Data
",373
data.livewellsd.org,"San Diego Live Well Data Access Portal | Open Data | Socrata",374
data.oaklandnet.com,"City of Oakland Open Data Portal | Open Data Portal
",394
data.nasa.gov,"NASA | Open Data | NASA Open Data Portal",31500
transparency.michigan.gov,"MI Transparency - State Expenditures | MI Transparency - State Expenditures",252
sa-data.idra.org,"San Antonio Connects | San Antonio Connects",48
sustainability.metroairports.org,"MAC Sustainability | Sustainability - Metro Airports",34
performance.action.act.gov.au,"ACTION ACT Performance Dashboard | ACTION ACT Performance Dashboard",38
data.sustainablesm.org,"Santa Monica Sustainable City Plan | Santa Monica Sustainable City",155
data.tompsc.com,"Mount Pleasant, SC | eMPower | Mount Pleasant, SC | eMPower
",41
data.tol.ca,"Township of Langley | Open Data Portal | Open Data | Township of Langley",119
impact.stlouisco.com,"Impact STLCO | Rally - Open Data Portal
",128
opendata.lasvegasnevada.gov,"Las Vegas | Open Data | Las Vegas | OpenData",252
outcomestat.baltimorecity.gov,"OutcomeStat | Baltimore City | OutcomeStat | Baltimore City
",148
